,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
109,0.7395923614501954,0.06648265239253726,0.03617362976074219,0.009736556701132047,15,2,2,250,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",0.9761904761904762,0.9809523809523809,0.9712918660287081,0.9665071770334929,0.9569377990430622,0.970375939849624,0.008271152447986534,64,0.972520908004779,0.972520908004779,0.9737470167064439,0.9737470167064439,0.9785202863961814,0.9742112271637253,0.002223210826004399
110,0.17732996940612794,0.018559398701999557,0.011129283905029297,0.0016389405930936818,15,2,5,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9809523809523809,0.9809523809523809,0.9712918660287081,0.9569377990430622,0.9665071770334929,0.9713283208020049,0.00911676412152769,58,0.974910394265233,0.974910394265233,0.9725536992840096,0.9737470167064439,0.9797136038186157,0.975167021667907,0.0024351177578716223
111,0.4186095714569092,0.020339104607410785,0.020745038986206055,0.005489820474379603,15,2,5,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9714285714285714,0.9809523809523809,0.9760765550239234,0.9712918660287081,0.9569377990430622,0.9713374344953293,0.008028279296841263,52,0.9713261648745519,0.973715651135006,0.9701670644391408,0.9725536992840096,0.9761336515513126,0.9727792462568041,0.0020549793071786586
112,0.5652059078216553,0.02110001095839207,0.025595903396606445,0.004477245780066132,15,2,5,150,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.9714285714285714,0.9809523809523809,0.9712918660287081,0.9712918660287081,0.9617224880382775,0.9713374344953293,0.006081230955239946,52,0.973715651135006,0.974910394265233,0.9725536992840096,0.9737470167064439,0.9785202863961814,0.9746894095573747,0.0020553354819877623
113,0.7556257724761963,0.038981465605746196,0.030359697341918946,0.008095583870928508,15,2,5,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9761904761904762,0.9809523809523809,0.9712918660287081,0.9712918660287081,0.9569377990430622,0.9713328776486672,0.008041800288132424,56,0.9713261648745519,0.973715651135006,0.9737470167064439,0.9701670644391408,0.9761336515513126,0.9730179097412911,0.0020840156754105485
114,0.7631468772888184,0.0370794745544623,0.03032221794128418,0.0055893776728211395,15,2,5,250,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}",0.9761904761904762,0.9809523809523809,0.9760765550239234,0.9712918660287081,0.9569377990430622,0.9722898154477102,0.008261657251452567,46,0.9713261648745519,0.972520908004779,0.9737470167064439,0.9725536992840096,0.9785202863961814,0.9737336150531931,0.0025128103040371256
115,0.15170702934265137,0.007407159698418874,0.009198331832885742,0.0009299092089937523,15,2,10,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9571428571428572,0.9761904761904762,0.9712918660287081,0.9617224880382775,0.9617224880382775,0.9656140350877193,0.007016380879685633,92,0.953405017921147,0.9713261648745519,0.9725536992840096,0.9689737470167065,0.9797136038186157,0.9691944465830062,0.00866990468572397
116,0.3450272560119629,0.020136808283923908,0.025390768051147462,0.00884026177835382,15,2,10,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9523809523809523,0.9809523809523809,0.9712918660287081,0.9665071770334929,0.9617224880382775,0.9665709728867624,0.009528696523656307,90,0.967741935483871,0.972520908004779,0.9665871121718377,0.9725536992840096,0.9797136038186157,0.9718234517526227,0.004633621338923652
117,0.5816653728485107,0.019118517569574126,0.029114484786987305,0.005170521814048924,15,2,10,150,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150}",0.9571428571428572,0.9809523809523809,0.9712918660287081,0.9665071770334929,0.9617224880382775,0.9675233538391433,0.008209480182478938,82,0.9713261648745519,0.972520908004779,0.9713603818615751,0.9725536992840096,0.9785202863961814,0.9732562880842194,0.002685663013906063
118,0.749368953704834,0.057806571427416464,0.027802181243896485,0.003643006699130571,15,2,10,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9571428571428572,0.9809523809523809,0.9712918660287081,0.9712918660287081,0.9569377990430622,0.9675233538391433,0.009257978391164134,82,0.9689366786140979,0.972520908004779,0.9725536992840096,0.9701670644391408,0.977326968973747,0.9723010638631548,0.002872104452450074
